Scheme,Beta,Hour,DA_Offer_MW
Two-price,0.25,17,114.85752773157756
Two-price,0.25,18,68.75335046940936
Two-price,0.25,19,134.9380077249797
Two-price,0.25,20,142.69391486027683
Two-price,0.25,21,148.69211419774297
Two-price,0.25,22,192.58154527085537
Two-price,0.25,23,288.3576187284767
Two-price,0.25,24,140.02556665887755
Two-price,0.5,1,71.24816153729844
Two-price,0.5,2,486.2407389589146
Two-price,0.5,3,268.5684732855906
Two-price,0.5,4,159.31454864455745
Two-price,0.5,5,141.09599868043048
Two-price,0.5,6,-0.0
Two-price,0.5,7,34.673062913224555
Two-price,0.5,8,-0.0
Two-price,0.5,9,48.88420777721268
Two-price,0.5,10,52.87040727962502
Two-price,0.5,11,129.22330964522823
Two-price,0.5,12,135.85208450742945
Two-price,0.5,13,64.018020370854
Two-price,0.5,14,70.27222993498371
Two-price,0.5,15,76.20513807370345
Two-price,0.5,16,87.10361369603166
Two-price,0.5,17,114.85752773157756
Two-price,0.5,18,63.61940042061277
Two-price,0.5,19,134.07204024686945
Two-price,0.5,20,142.69391486027683
Two-price,0.5,21,134.3967780511608
Two-price,0.5,22,176.00788992591166
Two-price,0.5,23,302.32230484804336
Two-price,0.5,24,140.02556665887755
Two-price,1.0,1,71.24816153729844
Two-price,1.0,2,486.2407389589146
Two-price,1.0,3,268.5684732855906
Two-price,1.0,4,140.80218828607167
Two-price,1.0,5,138.41390496350564
Two-price,1.0,6,-0.0
Two-price,1.0,7,34.673062913224555
Two-price,1.0,8,-0.0
Two-price,1.0,9,44.92549930585146
Two-price,1.0,10,52.87040727962502
Two-price,1.0,11,129.22330964522823
Two-price,1.0,12,210.77029869005236
Two-price,1.0,13,73.50070789404957
Two-price,1.0,14,70.27222993498371
Two-price,1.0,15,76.20513807370345
Two-price,1.0,16,79.30131544583578
Two-price,1.0,17,114.85752773157756
Two-price,1.0,18,63.61940042061277
Two-price,1.0,19,134.07204024686945
Two-price,1.0,20,123.20449203447376
Two-price,1.0,21,86.6843754725021
Two-price,1.0,22,166.660939368531
Two-price,1.0,23,282.8157001278332
Two-price,1.0,24,133.39507360723562
Two-price,2.0,1,73.0728787233165
Two-price,2.0,2,486.2407389589146
Two-price,2.0,3,268.5684732855906
Two-price,2.0,4,120.26123352256326
Two-price,2.0,5,115.97263267858861
Two-price,2.0,6,-0.0
Two-price,2.0,7,31.875850503773144
Two-price,2.0,8,-0.0
Two-price,2.0,9,44.92549930585146
Two-price,2.0,10,50.09553133290264
Two-price,2.0,11,129.22330964522823
Two-price,2.0,12,210.77029869005236
Two-price,2.0,13,73.50070789404957
Two-price,2.0,14,76.945677722643
Two-price,2.0,15,78.19308325658756
Two-price,2.0,16,66.77227804428804
Two-price,2.0,17,111.05001993099751
Two-price,2.0,18,45.13168203873485
Two-price,2.0,19,106.22018941320395
Two-price,2.0,20,92.33550054294786
Two-price,2.0,21,72.3615482948688
Two-price,2.0,22,130.7387527319212
Two-price,2.0,23,282.8157001278332
Two-price,2.0,24,133.39507360723562
Two-price,5.0,1,73.0728787233165
Two-price,5.0,2,486.2407389589146
Two-price,5.0,3,268.54441863342083
Two-price,5.0,4,61.91495649544336
Two-price,5.0,5,49.899657736663414
Two-price,5.0,6,-0.0
Two-price,5.0,7,16.93962969581174
Two-price,5.0,8,-0.0
Two-price,5.0,9,34.75209962749653
Two-price,5.0,10,41.020054707151786
Two-price,5.0,11,129.22330964522823
Two-price,5.0,12,249.7542989099806
Two-price,5.0,13,106.92464708388889
Two-price,5.0,14,105.48824071146788
Two-price,5.0,15,80.62775769405232
